To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
HEX0[0],Unknown,PIN_G18,7,B7_N2,2.5 V,,,,
HEX0[1],Unknown,PIN_F22,7,B7_N0,2.5 V,,,,
HEX0[2],Unknown,PIN_E17,7,B7_N2,2.5 V,,,,
HEX0[3],Unknown,PIN_L26,6,B6_N1,2.5 V,,,,
HEX0[4],Unknown,PIN_L25,6,B6_N1,2.5 V,,,,
HEX0[5],Unknown,PIN_J22,6,B6_N0,2.5 V,,,,
HEX0[6],Unknown,PIN_H22,6,B6_N0,2.5 V,,,,
HEX1[0],Unknown,PIN_M24,6,B6_N2,2.5 V,,,,
HEX1[1],Unknown,PIN_Y22,5,B5_N0,2.5 V,,,,
HEX1[2],Unknown,PIN_W21,5,B5_N1,2.5 V,,,,
HEX1[3],Unknown,PIN_W22,5,B5_N0,2.5 V,,,,
HEX1[4],Unknown,PIN_W25,5,B5_N1,2.5 V,,,,
HEX1[5],Unknown,PIN_U23,5,B5_N1,2.5 V,,,,
HEX1[6],Unknown,PIN_U24,5,B5_N0,2.5 V,,,,
HEX2[0],Unknown,PIN_AA25,5,B5_N1,2.5 V,,,,
HEX2[1],Unknown,PIN_AA26,5,B5_N1,2.5 V,,,,
HEX2[2],Unknown,PIN_Y25,5,B5_N1,2.5 V,,,,
HEX2[3],Unknown,PIN_W26,5,B5_N1,2.5 V,,,,
HEX2[4],Unknown,PIN_Y26,5,B5_N1,2.5 V,,,,
HEX2[5],Unknown,PIN_W27,5,B5_N1,2.5 V,,,,
HEX2[6],Unknown,PIN_W28,5,B5_N1,2.5 V,,,,
HEX3[0],Unknown,PIN_V21,5,B5_N1,2.5 V,,,,
HEX3[1],Unknown,PIN_U21,5,B5_N0,2.5 V,,,,
HEX3[2],Unknown,PIN_AB20,4,B4_N0,3.3-V LVTTL,,,,
HEX3[3],Unknown,PIN_AA21,4,B4_N0,3.3-V LVTTL,,,,
HEX3[4],Unknown,PIN_AD24,4,B4_N0,3.3-V LVTTL,,,,
HEX3[5],Unknown,PIN_AF23,4,B4_N0,3.3-V LVTTL,,,,
HEX3[6],Unknown,PIN_Y19,4,B4_N0,3.3-V LVTTL,,,,
HEX4[0],Unknown,PIN_AB19,4,B4_N0,3.3-V LVTTL,,,,
HEX4[1],Unknown,PIN_AA19,4,B4_N0,3.3-V LVTTL,,,,
HEX4[2],Unknown,PIN_AG21,4,B4_N2,3.3-V LVTTL,,,,
HEX4[3],Unknown,PIN_AH21,4,B4_N2,3.3-V LVTTL,,,,
HEX4[4],Unknown,PIN_AE19,4,B4_N1,3.3-V LVTTL,,,,
HEX4[5],Unknown,PIN_AF19,4,B4_N1,3.3-V LVTTL,,,,
HEX4[6],Unknown,PIN_AE18,4,B4_N2,3.3-V LVTTL,,,,
HEX5[0],Unknown,PIN_AD18,4,B4_N1,3.3-V LVTTL,,,,
HEX5[1],Unknown,PIN_AC18,4,B4_N1,3.3-V LVTTL,,,,
HEX5[2],Unknown,PIN_AB18,4,B4_N0,3.3-V LVTTL,,,,
HEX5[3],Unknown,PIN_AH19,4,B4_N2,3.3-V LVTTL,,,,
HEX5[4],Unknown,PIN_AG19,4,B4_N2,3.3-V LVTTL,,,,
HEX5[5],Unknown,PIN_AF18,4,B4_N1,3.3-V LVTTL,,,,
HEX5[6],Unknown,PIN_AH18,4,B4_N2,3.3-V LVTTL,,,,
HEX6[0],Unknown,PIN_AA17,4,B4_N1,3.3-V LVTTL,,,,
HEX6[1],Unknown,PIN_AB16,4,B4_N2,3.3-V LVTTL,,,,
HEX6[2],Unknown,PIN_AA16,4,B4_N2,3.3-V LVTTL,,,,
HEX6[3],Unknown,PIN_AB17,4,B4_N1,3.3-V LVTTL,,,,
HEX6[4],Unknown,PIN_AB15,4,B4_N2,3.3-V LVTTL,,,,
HEX6[5],Unknown,PIN_AA15,4,B4_N2,3.3-V LVTTL,,,,
HEX6[6],Unknown,PIN_AC17,4,B4_N2,3.3-V LVTTL,,,,
HEX7[0],Unknown,PIN_AD17,4,B4_N2,3.3-V LVTTL,,,,
HEX7[1],Unknown,PIN_AE17,4,B4_N2,3.3-V LVTTL,,,,
HEX7[2],Unknown,PIN_AG17,4,B4_N2,3.3-V LVTTL,,,,
HEX7[3],Unknown,PIN_AH17,4,B4_N2,3.3-V LVTTL,,,,
HEX7[4],Unknown,PIN_AF17,4,B4_N2,3.3-V LVTTL,,,,
HEX7[5],Unknown,PIN_AG18,4,B4_N2,3.3-V LVTTL,,,,
HEX7[6],Unknown,PIN_AA14,3,B3_N0,3.3-V LVTTL,,,,
